step,lr,train_loss,val_loss,tokens_per_sec
458,6.885e-05,5.9163,,
459,6.900e-05,5.8920,,
460,6.915e-05,5.8516,,
461,6.930e-05,5.8585,,
462,6.945e-05,5.8955,,
463,6.960e-05,5.8596,,
464,6.975e-05,5.8773,,
465,6.990e-05,5.8884,,
466,7.005e-05,5.8823,,
467,7.020e-05,5.8560,,
468,7.035e-05,5.8642,,
469,7.050e-05,5.8466,,
470,7.065e-05,5.8392,,
471,7.080e-05,5.8506,,
472,7.095e-05,5.8782,,
473,7.110e-05,5.8556,,
474,7.125e-05,5.8322,,
475,7.140e-05,5.7830,,
476,7.155e-05,5.8240,,
477,7.170e-05,5.8086,,
478,7.185e-05,5.8563,,
479,7.200e-05,5.8123,,
480,7.215e-05,5.7909,,
481,7.230e-05,5.7728,,
482,7.245e-05,5.7719,,
483,7.260e-05,5.7784,,
484,7.275e-05,5.7490,,
485,7.290e-05,5.7569,,
486,7.305e-05,5.7646,,
487,7.320e-05,5.7940,,
488,7.335e-05,5.7570,,
489,7.350e-05,5.7517,,
490,7.365e-05,5.7586,,
491,7.380e-05,5.7757,,
492,7.395e-05,5.7803,,
493,7.410e-05,5.7247,,
494,7.425e-05,5.7834,,
495,7.440e-05,5.7527,,
496,7.455e-05,5.7143,,
497,7.470e-05,5.7143,,
498,7.485e-05,5.7088,,
499,7.500e-05,5.7239,,
500,7.515e-05,5.7320,5.638478016853332,
501,7.530e-05,5.6917,,
502,7.545e-05,5.6591,,
503,7.560e-05,5.7245,,
504,7.575e-05,5.6802,,
505,7.590e-05,5.7036,,
506,7.605e-05,5.6665,,
507,7.620e-05,5.6613,,
508,7.635e-05,5.6977,,
509,7.650e-05,5.6725,,
510,7.665e-05,5.7048,,
511,7.680e-05,5.6297,,
512,7.695e-05,5.6601,,
513,7.710e-05,5.6582,,
514,7.725e-05,5.6597,,
515,7.740e-05,5.6526,,
516,7.755e-05,5.5897,,
517,7.770e-05,5.6231,,
518,7.785e-05,5.6807,,
519,7.800e-05,5.6617,,
520,7.815e-05,5.5909,,
521,7.830e-05,5.6505,,
522,7.845e-05,5.6307,,
523,7.860e-05,5.6150,,
524,7.875e-05,5.6317,,
525,7.890e-05,5.6318,,
526,7.905e-05,5.6058,,
527,7.920e-05,5.6197,,
528,7.935e-05,5.5839,,
529,7.950e-05,5.6228,,
530,7.965e-05,5.5870,,
531,7.980e-05,5.6025,,
532,7.995e-05,5.5936,,
533,8.010e-05,5.5909,,
534,8.025e-05,5.5628,,
535,8.040e-05,5.5706,,
536,8.055e-05,5.5804,,
537,8.070e-05,5.6257,,
538,8.085e-05,5.5827,,
539,8.100e-05,5.5308,,
540,8.115e-05,5.5813,,
541,8.130e-05,5.5267,,
542,8.145e-05,5.5371,,
543,8.160e-05,5.5652,,
544,8.175e-05,5.5896,,
545,8.190e-05,5.5339,,
546,8.205e-05,5.5486,,
547,8.220e-05,5.5439,,
548,8.235e-05,5.5852,,
549,8.250e-05,5.5160,,
550,8.265e-05,5.5164,,
551,8.280e-05,5.5272,,
552,8.295e-05,5.5176,,
553,8.310e-05,5.5557,,
554,8.325e-05,5.4977,,
555,8.340e-05,5.5250,,
556,8.355e-05,5.5034,,
557,8.370e-05,5.4799,,
558,8.385e-05,5.4600,,
559,8.400e-05,5.5121,,
560,8.415e-05,5.4693,,
561,8.430e-05,5.4364,,
562,8.445e-05,5.4806,,
563,8.460e-05,5.4402,,
564,8.475e-05,5.4908,,
565,8.490e-05,5.4873,,
566,8.505e-05,5.4691,,
567,8.520e-05,5.4980,,
568,8.535e-05,5.5031,,
569,8.550e-05,5.4466,,
570,8.565e-05,5.4770,,
571,8.580e-05,5.4711,,
572,8.595e-05,5.4486,,
573,8.610e-05,5.4426,,
574,8.625e-05,5.4155,,
575,8.640e-05,5.4412,,
576,8.655e-05,5.4328,,
577,8.670e-05,5.4294,,
578,8.685e-05,5.4393,,
579,8.700e-05,5.4248,,
580,8.715e-05,5.4114,,
581,8.730e-05,5.4363,,
582,8.745e-05,5.4080,,
583,8.760e-05,5.4208,,
584,8.775e-05,5.4221,,
585,8.790e-05,5.4210,,
586,8.805e-05,5.3991,,
587,8.820e-05,5.3643,,
588,8.835e-05,5.4155,,
589,8.850e-05,5.3965,,
590,8.865e-05,5.3880,,
591,8.880e-05,5.3605,,
592,8.895e-05,5.3525,,
593,8.910e-05,5.3772,,
594,8.925e-05,5.3641,,
595,8.940e-05,5.3568,,
596,8.955e-05,5.3496,,
597,8.970e-05,5.3565,,
598,8.985e-05,5.3552,,
599,9.000e-05,5.3754,,
600,9.015e-05,5.3395,5.269244456291199,
601,9.030e-05,5.3174,,
602,9.045e-05,5.3273,,
603,9.060e-05,5.3016,,
604,9.075e-05,5.3933,,
605,9.090e-05,5.3005,,
606,9.105e-05,5.3244,,
607,9.120e-05,5.3148,,
608,9.135e-05,5.3093,,
609,9.150e-05,5.3429,,
610,9.165e-05,5.3321,,
611,9.180e-05,5.3136,,
612,9.195e-05,5.2918,,
613,9.210e-05,5.2939,,
614,9.225e-05,5.2882,,
615,9.240e-05,5.2778,,
616,9.255e-05,5.3058,,
617,9.270e-05,5.2172,,
618,9.285e-05,5.2766,,
619,9.300e-05,5.3051,,
620,9.315e-05,5.2464,,
621,9.330e-05,5.2753,,
622,9.345e-05,5.2498,,
623,9.360e-05,5.2578,,
624,9.375e-05,5.2466,,
625,9.390e-05,5.2528,,
626,9.405e-05,5.2834,,
627,9.420e-05,5.2372,,
628,9.435e-05,5.2387,,
629,9.450e-05,5.2454,,
630,9.465e-05,5.2052,,
631,9.480e-05,5.2186,,
632,9.495e-05,5.2530,,
633,9.510e-05,5.2215,,
634,9.525e-05,5.2288,,
635,9.540e-05,5.2266,,
636,9.555e-05,5.2276,,
637,9.570e-05,5.2217,,
638,9.585e-05,5.1887,,
639,9.600e-05,5.1933,,
640,9.615e-05,5.2012,,
641,9.630e-05,5.1496,,
642,9.645e-05,5.2103,,
643,9.660e-05,5.1797,,
644,9.675e-05,5.1889,,
645,9.690e-05,5.1601,,
646,9.705e-05,5.1485,,
647,9.720e-05,5.1661,,
648,9.735e-05,5.1094,,
649,9.750e-05,5.1857,,
650,9.765e-05,5.1441,,
651,9.780e-05,5.1952,,
652,9.795e-05,5.1685,,
653,9.810e-05,5.1936,,
654,9.825e-05,5.1486,,
655,9.840e-05,5.1496,,
656,9.855e-05,5.1669,,
657,9.870e-05,5.1366,,
658,9.885e-05,5.1368,,
659,9.900e-05,5.1395,,
660,9.915e-05,5.1355,,
661,9.930e-05,5.1108,,
662,9.945e-05,5.1038,,
663,9.960e-05,5.1250,,
664,9.975e-05,5.1184,,
665,9.990e-05,5.1252,,
666,1.000e-04,5.0855,,
667,1.002e-04,5.0945,,
668,1.003e-04,5.1076,,
669,1.005e-04,5.0793,,
670,1.006e-04,5.0403,,
671,1.008e-04,5.0608,,
672,1.010e-04,5.0657,,
673,1.011e-04,5.0770,,
674,1.012e-04,5.0860,,
675,1.014e-04,5.0992,,
676,1.015e-04,5.0857,,
677,1.017e-04,5.0345,,
678,1.018e-04,5.0625,,
679,1.020e-04,5.0394,,
680,1.021e-04,5.0820,,
681,1.023e-04,5.0392,,
682,1.024e-04,5.0580,,
683,1.026e-04,5.0463,,
684,1.027e-04,5.0176,,
685,1.029e-04,5.0391,,
686,1.030e-04,5.0149,,
687,1.032e-04,5.0065,,
688,1.033e-04,4.9971,,
689,1.035e-04,4.9903,,
690,1.036e-04,5.0043,,
691,1.038e-04,5.0126,,
692,1.039e-04,4.9795,,
693,1.041e-04,4.9772,,
694,1.042e-04,5.0168,,
695,1.044e-04,4.9899,,
696,1.045e-04,4.9885,,
697,1.047e-04,5.0097,,
698,1.048e-04,4.9705,,
699,1.050e-04,4.9973,,
700,1.051e-04,4.9871,4.876130533218384,
701,1.053e-04,4.9750,,
702,1.054e-04,4.9450,,
703,1.056e-04,4.9811,,
704,1.057e-04,4.9732,,
705,1.059e-04,4.9661,,
706,1.060e-04,4.9913,,
707,1.062e-04,4.9556,,
708,1.063e-04,4.9304,,
709,1.065e-04,4.9062,,
710,1.066e-04,4.9363,,
